ID,Group,Category,Question,Overall Score,Keyword Coverage,Source Accuracy,Response Time,Num Sources
S01,simple,học phí,Học phí ngành Công nghệ thông tin là bao nhiêu?,0.7,0.6,1.0,5.652,2
S02,simple,liên hệ,Địa chỉ trường Đại học Bình Dương ở đâu?,1.0,1.0,1.0,1.058,2
S03,simple,liên hệ,Hotline tuyển sinh của trường là gì?,0.625,0.25,1.0,3.555,2
S04,simple,ngành học,Trường có những ngành đào tạo nào?,0.9,0.8,1.0,3.358,2
S05,simple,điểm chuẩn,Điểm chuẩn ngành Luật năm 2024 là bao nhiêu?,0.5,0.0,1.0,1.233,2
S06,simple,hồ sơ,Hồ sơ xét tuyển gồm những gì?,0.5,0.0,1.0,1.153,2
S07,simple,học bổng,Trường có học bổng không?,0.567,0.333,1.0,6.992,2
S08,simple,lịch tuyển sinh,Thời gian tuyển sinh năm 2025 khi nào?,0.775,0.75,1.0,22.51,2
S09,simple,ngành học,Mã ngành Công nghệ thông tin là gì?,0.4,0.0,1.0,6.222,2
S10,simple,liên hệ,Email liên hệ tuyển sinh là gì?,0.4,0.0,1.0,9.59,2
C01,complex,so sánh,So sánh điểm chuẩn ngành Luật và ngành Kinh tế năm 2024?,1.0,1.0,1.0,14.186,2
C02,complex,tổng hợp,Học phí và điểm chuẩn ngành CNTT năm 2024?,0.9,1.0,1.0,6.487,2
C03,complex,tư vấn,Tôi có 18 điểm thì đậu được những ngành nào và học phí ra sao?,0.8,0.5,1.0,30.472,2
C04,complex,so sánh,Ngành nào có điểm chuẩn thấp nhất và cao nhất năm 2024?,1.0,1.0,1.0,27.596,2
C05,complex,tổng hợp,Trường có những phương thức xét tuyển nào và điều kiện từng phương thức?,0.84,0.6,1.0,15.57,2
C06,complex,so sánh,So sánh học phí giữa các ngành khối kinh tế?,1.0,1.0,1.0,5.613,2
C07,complex,tư vấn,"Nếu tôi thích công nghệ, nên chọn ngành CNTT hay Trí tuệ nhân tạo?",0.5,0.0,1.0,10.689,2
C08,complex,lọc,Liệt kê các ngành có mức học phí dưới 20 triệu/năm?,1.0,1.0,1.0,21.879,2
C09,complex,so sánh,Quy trình nộp hồ sơ online và offline khác nhau như thế nào?,1.0,1.0,1.0,7.879,6
C10,complex,so sánh,Điểm chuẩn năm 2024 thay đổi như thế nào so với 2023?,0.5,0.0,1.0,6.706,2
O01,out_of_scope,tin tức,Tin tức tuyển sinh mới nhất hôm nay của trường?,0.7,1.0,0.5,25.039,2
O02,out_of_scope,xếp hạng,Trường Đại học Bình Dương xếp hạng thứ mấy ở Việt Nam?,0.3,0.0,0.5,5.662,2
O03,out_of_scope,việc làm,Cơ hội việc làm sau khi tốt nghiệp ngành CNTT tại BDU?,0.3,0.0,0.5,7.992,2
O04,out_of_scope,đánh giá,Đánh giá của sinh viên về trường Đại học Bình Dương?,0.3,0.0,0.5,7.504,2
O05,out_of_scope,sinh hoạt,Ký túc xá trường có giá bao nhiêu một tháng?,0.3,0.0,0.5,22.392,2
O06,out_of_scope,quốc tế,Trường có chương trình trao đổi sinh viên quốc tế không?,0.7,1.0,0.5,20.321,2
O07,out_of_scope,việc làm,Lương trung bình của sinh viên BDU sau khi ra trường?,0.3,0.0,0.5,18.653,2
O08,out_of_scope,sinh hoạt,Các câu lạc bộ sinh viên tại trường?,0.3,0.0,0.5,21.26,2
O09,out_of_scope,ngoài phạm vi,Thời tiết ở Bình Dương hôm nay thế nào?,1.0,1.0,1.0,18.206,2
O10,out_of_scope,ngoài phạm vi,Cho tôi công thức nấu phở?,1.0,1.0,1.0,23.475,2
